Collection Title,Skill Tags,Field 6
CompTIA Project+ (PK0-004),"Roles & Responsibilities, Initiation, Planning, Execution, Cost Control, Structures, Schedule, Tasks, Resource Management, Professional Communication, Conflict Resolution, Personnel, Constraints, Risk Management, Change Management, Meetings, Rapport, Relationship Building, Triggers, Gantt Chart, Dashboard, Charts, Reports, SWOT, RACI, Performance Measurement, Project Tools",
CompTIA Project+ (PK0-004): 1.0a Project Basics,,
CompTIA Project+ (PK0-004): 1.0b Project Basics,,
CompTIA Project+ (PK0-004): 2.0 Project Constraints,,
CompTIA Project+ (PK0-004): 3.0 Communication & Change Management,,
CompTIA Project+ Course,,
CompTIA Project+ PK0-003,,
CompTIA Security+ (SY0-401),"Security, Network Security, Network Design, Ports, Protocols, Protocol Security, Wireless Security, Risk Management, Incident Response, Forensics, Security, Security, Malware, Attack Types, Social Engineering, Threat Mitigation, Security Tools, Penetration Testing, Security, Security, Authentication, Security, Cryptography, PKI, ACLs, Network Address Translation (NAT), Network Security",
CompTIA Security+ (SY0-501),"Security, Network Devices, Physical Security, ACLs, Network Address Translation (NAT), PAT, Security, Penetration Testing, Threat Mitigation, Threat Defense, Network Traffic, Port Security, Network Scanning, Security, Network Traffic, Security Policies, Security Assessment, Firewalls, Virtualization, IPsec, ICMP, Protocol Security, Security, Security, Penetration Testing, Threat Mitigation, Threat Defense, Network Traffic, Port Security, Network Scanning, Incident Response",
CompTIA Security+ 2010 SY0-301  JK0-018,,
CompTIA Security+ SY0-201,,
CompTIA Security+ SY0-201 with SY0-301  JK0-018 updates,,
CompTIA Server+,,
CompTIA Server+ SK0-003,,
CompTIA Storage+ SG0-001,,
CompTIA Strata Certificate -- Fundamentals of IT Technology,,
Configure and Verify IPv4,,
Configuring BGP on Cisco Routers,,
Core Azure Services,"Azure, Core Azure Services, Azure, Core Azure Services, Network Management ",
CPD200: Developing Solutions for Google Cloud Platform,"GCP, Java, Python",
Creating and Managing Tablespaces,"Tablespaces, 12c",
CWNA 2006 Update,,
CWNA Certification Series,,
CWNP CWSP,,
CWNP CWSP Certification Series,,
CWNP Wireless Certification Course,,
CWNP Wireless CWNA Wireless Network Administrator PW0-104,,
CWNP Wireless CWNE Wireless Network Expert PW0-300,,
CWNP Wireless CWTS Wireless Technology Specialist PW0-070,,
Data Structures with Pandas,,
Database Various SQL Languages,,
Designing and Operating Defensible Network Architectures,,
Development Fundamentals,,
Docker,"Containers, Persistent Data, Images",
EC Council Certified Ethical Hacker v7.0,,
EC-Council Certified Ethical Hacker,,
EMC Information Storage and Management,"Storage, Storage Management",
Essential Soft Skills for the IT Professional,,
Evaluate and Perform Server Migration with Azure,"Server Migration, Azure",
Evernote,,
Everything Linux,"Linux, Scripting, BASH, Variables, Conditionals, While Loops, For Loops, SSH, Linux, Authentication, Tunneling, BASH, VPN, Root Account, SSH, CentOS, Password Recovery, Red Hat, Ubuntu, Filesystems, NFS, CIFS, Linux, Fileservers, RAID, Partitions, LVM, NFS, WebDAV, Samba, Linux, Linux, Apache, CLI, Virtual Hosts, PHP, SSL, HTTPS, WebDAV, Linux, DNSMasq, ",
Exam Walkthrough: Cisco ICND1/CCENT 100-101,"Layer 2, Layer 3, Protocols, Routing, Switching, OSPF, Subnetting, Security, Device Management",
Exam Walkthrough: Cisco ICND2/CCNA 200-101,,
exam-Pack 70-667: Microsoft MCTS  SharePoint Server Configuration,,
Exam-Pack 642-444: Cisco CCVP -  CIPT,,
Explain and Identify Logical Security,"Security, Logical Security",
F5 BIG-IP Local Traffic Manager,"BIG-IP, Load Balancing, Network Address Translation (NAT), Profiles, Persistent Data, SSL, IPv6, BIG-IP, BIG-IP, High Availability, BIG-IP, CLI, Network Components, Troubleshooting, LTM, High Availability, BIG-IP, Packet Filtering",
F5 Local Traffic Manager,,
Free Videos!,,
Getting Started with Palo Alto Firewalls v8.x,"Firewalls, Access Management, DNS, NGFW, Security Zones, Virtual Routers, Firewalls, Virtual Routers, Dynamic Routing, Network Address Translation (NAT), PAT, Security, Security Policies, DMZ, Profiles, Security Zones, DHCP",
GNS3 0.8,GNS3,
GNS3 1.2 Fundamentals,"GNS3, Routing, Switching, Network Configuration, Network Diagrams, Network Tools",
Google App Engine: Qualified Developer,", Java, Python, App Engine, Configuration Management, Java, Python, App Engine, Optimization, Java, Python, App Engine, Authentication, Java, Python, App Engine, Datastore, Java, Python, App Engine, Memcache, Java, Python, App Engine, Tasks, App Engine, Java, Python",
Google BigQuery: Qualified Developer,"Querying, Google, Data Management, BigQuery, Data Visualization",
Google Cloud Platform Fundamentals,"Cloud Concepts, Google Cloud, Google Cloud, Google Container Engine, Containers, Google Cloud, Google App Engine (GAE), Google Cloud, Google Cloud Datastore, Google Cloud, Google Cloud Storage, Cloud Storage, Google Cloud, Google Cloud SQL, Cloud SQL, Google Cloud, BigQuery",
Google Cloud SQL: Qualified Developer,"Cloud SQL, SQL, Access Control, Instances, Replication Solutions, mySQL, REST API",
Google Cloud Storage: Qualified Developer,"Cloud Storage, Authentication, ACLs, Access Control, Storage Policies",
Google Compute Engine: Qualified Developer,"GCE, Instances, Persistent Disks, Images, Metadata, Network Load Balancing (NLB), Load Balancing, Monitoring, Automation",
HDI Desktop Support DST HDI-DST,,
HDI Desktop Support SCA HDI-SCA,,
How Do I Use This STINKING Thing?!,,
IIS 8.5,,
Implement Hyper-V,"Windows, Windows Server, Windows Server 2016, Hyper-V, Windows, Windows Server, Windows Server 2016, Hyper-V, Virtual Machines (VM), Windows, Windows Server, Windows Server 2016, Hyper-V, Hyper-V Storage, Storage, Windows, Windows Server, Windows Server 2016, Hyper-V, Hyper-V Networking",
Implement Storage Solutions,"Storage Spaces, iSCSI, Storage Pools, Data Deduplication, Storage Solutions",
Implement Windows Containers,"Windows, Windows Containers, Containers",
Implementing Cisco MPLS,,
Information Security: Asset Security,"Security, Asset Security",
Information Security: Communication and Network Security,"Security, Network Security",
Information Security: Identity and Access Management (IAM),"Security, IAM",
Information Security: Security and Risk Management,"Security, Risk Management",
Information Security: Security Architecture and Engineering,"Security, Security Architecture, Security Engineering, Vulnerabilities, Cryptography, PKI, Encryption",
Information Security: Security Assessment and Testing,"Security, Security Assessment",
Information Security: Security Operations,"Security, Security Operations",
Information Security: Software Development Security,"Security, Software Development, SDLC",
Install Windows Server in Host and Compute Environments,"Windows Server, .NET, Windows Server 2016, Windows, DSC, Server Migration, Image Deployment",
Introducing Google Glass,,
Introducing the Cisco UCS,"UCS, B Series, C Series, RBAC, Fabric, LAN, SAN, Configuration, Monitoring",
Introducing the Cisco Unified Fabric,,
Introduction To Salesforce,,
Intuit Quickbooks 2007,,
IPv4 DHCP Fundamentals,IPv4,
IPv4 Routing Fundamentals,,
IPv4 Subnetting,"IPv4, Subnetting",
IPv6 Fundamentals,,
IPv6 Subnetting,"IPv6, Protocols, IP Addressing, RIP, OSPF, EIGRP, BGP, IS-IS, DNS, DHCP, HSRP, GLBP, IPv6, Routing, IP Addressing, SSH, Access Control, GRE Tunneling, MPLS, 6VPE, AnyCast",
ISACA CISA,,
ISACA CISA 2016,,
ISACA CISA Certification,,
ISACA CISM,,
ISACA CISM Certification,,
ISACA Security CISM,,
IT Expert: Building and Configuring a Business Switch Network,"Network Discovery, Project Development, Documentation, Configuration Management, Network Devices",
IT Expert: Building and Configuring a Business Wireless Network,,
IT Expert: Getting Started in IT,Information Technology,
IT Expert: Installing Network Cabling and Devices,"Cabling, Network Devices, Ethernet, Network Connectivity, Racks, WAP, Routers, UPS",
IT Expert: Office 365 Domain Structure,,
"IT Expert: Office 365 Domain Structure, ADMT, and Federations",Active Directory,
IT Expert: Office 365 Exchange Migration,"Office 365, Active Directory, Microsoft Exchange, OWA, DNS, Mailboxes, Hybrid Exchange, Migration, Powershell",
IT Expert: Real World,,
"IT Expert: Real World, Multi-Carrier BGP","BGP, Load Balancing",
IT Expert: Switching VLAN Design and Implementation,"VLAN, Design, Network Design, Subnetting, Documentation, Switching, WAP, Routing, VLAN",
IT Expertise: Routing and Switching,,
ITIL 2015,"Service Lifecycle, Service Strategy, Service Design, Service Transition, Service Operations, ",
ITIL Foundation,,
ITIL Foundation for Project Management,,
ITIL Foundation Infrastructure Library Version 3,,
ITIL® Foundation,", Service Management, Design, Service Management, Service Transition, Configuration Management, Change Management, Service Operations, Event Management, Incident Response, Problem Management, Access Management, Service Management, Continuous Improvement",
ITIL® Intermediate Capability: OSA,"OSA, Service Operations, Event Management, Incident Response, Problem Management, Access Management, Request Fulfillment, Operational Activities, Service Operations, OSA, ",
ITIL® Intermediate Capability: PPO,,
ITIL® Intermediate Lifecycle: CSI,,
ITIL®: Foundation Level,,
ITIL®: Foundation Level for Project Managers,,
Java Essentials,"Java, Data Types, Operators, Characters, Strings, Loops, Arrays, Object-oriented Programming, Java, Functions, Parameters, Object-oriented Programming, Classes, Modifiers",
Java Programming,,
Java Programming For Developers,,
Juniper JNCIA-Junos (JN0-102),"OSI Model, Ethernet, Layer 2, Layer 2 Technologies, IPv4, Subnetting, IPv6, CLI, Configuration Management, User Accounts, Network Devices, Logging, Monitoring, Routing, Firewalls",
Juniper JNCIS-ENT (JN0-343) - Layer 2,", Layer 2, Layer 2 Technologies, Switching, VLAN, STP",
Juniper JNCIS-ENT (JN0-343) - Layer 2 Security,", STP, DHCP, Snooping, DAI, Firewalls",
Juniper JNCIS-ENT (JN0-343) - OSPF,", OSPF, Recovery, LSA",
Juniper JNCIS-ENT (JN0-343) – BGP,", BGP, eBGP",
Juniper JNCIS-ENT (JN0-343) – High Availability,", LAGs, RTGs, Virtual Chassis, BFD, VRRP, ISSU",
Juniper JNCIS-ENT (JN0-343) – IS-IS,", IS-IS",
Juniper JNCIS-ENT (JN0-343) – Protocol Independent Routing Tunnels,", Static Routing, Load Balancing, Filter-based Forwarding, Tunneling",
Juniper JNCIS-ENT JN0-343,,
Juniper Networks Certified Associate Junos JN0-102,,
Juniper Networks Certified Professional Security (JNCIP-SEC) JN0-633,,
Juniper Networks Certified Specialist Security (JNCIS-SEC),,
Juniper Networks Certified Specialist Security (JNCIS-SEC) JN0-332,,
Juniper Networks Junos Associate,,
Juniper Networks Junos Associate  JN0-101,,
Keith Test - used for testing production encoding pipeline,,
Layer 2 Ethernet Addresses,"Layer 2, Ethernet, ARP",
Layer 2 Switching Fundamentals,"Layer 2, Switching",
Layer 3 IPv4 Address Fundamentals,"Layer 3, IPv4, IP Addressing",
Linux Automation and Scripting,"Linux, Scripting",
Linux Essentials,"Open Source, Linux, Linux OS, File Management, CLI, Linux, Linux OS, User Accounts, User Management, Linux Security",
Linux Foundation Certified Sysadmin,,
Linux Foundation Certified System Administrator (LFCS),,
Linux Hardware and System Configuration,???,
Linux in the Real World,,
Linux Professional Institute LPIC-2 (201-400),"Kernels, Disk I/O, Monitoring, Network Monitoring, Automation, Configuration, Linux, SystemV, GRUB, Boot Loaders, Partitions, EXT Filesystems, XFS Filesystems, Filesystems, Linux, RAID, Hard Drives, iSCSI, Network Devices, Network Troubleshooting, Backup, Linux",
Linux Professional Institute LPIC-2 (202-400),", DNS, BIND, DHCP, LDAP, Apache, SSL, ACLs, Authentication, Samba, NFS, Network Address Translation (NAT), Packet Filtering, FTP, SSH, VPN",
Linux Security,"Linux, Security",
Linux Systems Operation and Maintenance,"Linux, Operating Systems, System Maintenance",
Linux Troubleshooting and Diagnostics,"Linux, Troubleshooting",
Linux: Intermediate to Advanced Development,,
Linux+ 2004 Update,,
LPI Linux LPIC-1 101 and CompTIA Linux+,Linux,
LPI Linux LPIC-1 102 and CompTIA Linux+,,
LPI Linux LPIC-1 and CompTIA Linux+ Prep 4.0,"Linux, Linux OS, Open Source",
LPI: Linux LPIC-1 Series,,
LPI: Linux LPIC-2 Series,,
LPIC-1: System Administrator (101-500),,
Mac OSX for IT Administrators,,
Managing Database Instances,"Database Instances, 12c",
Manage Storage Space with Oracle,"Storage, Storage Management, 12c",
Managing UNDO Data,"UNDO Data, 12c",
Mastering VMware View 5 and Preparing for the VCP510-DT Exam,,
Microsoft  ISA Server 2000 Enterprise Edition 70-227,,
Microsoft  MCDST Troubleshooting Apps  70-272,,
Microsoft  MCDST Troubleshooting XP  70-271,,
Microsoft  PRO Windows Server 2008 Enterprise 70-647,,
Microsoft  Visual Basic 6.0 Fundamentals,,
Microsoft 70-403 SCVMM & 70-652 Hyper-V  MCTS,,
Microsoft 70-415 MCSE: Desktop Infrastructure,,
Microsoft 70-518: Microsoft .NET 4  PRO,,
Microsoft 70-519: .NET 4 PRO,,
Microsoft 70-646 with R2 Updates: Windows Server 2008  Server Administrator PRO,,
Microsoft 70-649: Upgrading MCSE to MCITP with R2 updates,,
Microsoft 70-663: PRO Exchange Server 2010,,
Microsoft 70-681 Windows 7/Office Deployment,,
Microsoft Automating Windows Server 2008 Admin,,
Microsoft Azure (70-535): 1.2 Design Web Applications,,
Microsoft Azure 70-533,,
Microsoft Azure 70-534,Azure,
Microsoft Azure: Architecting Solutions (70-535),"Azure, Azure, Data Storage, API, Web Apps, Azure, Design, Implementation, Azure, Security, RBAC, Authentication, Active Directory, Azure, Monitoring, Automation, AI, IoT",
Microsoft Azure: Developing Solutions (70-532),"Websites, SSL, Debugging, Diagnostics, Scaling, Traffic Manager, Azure, Virtual Machines (VM), VM Management, Images, Cloud Service, ACLs, Load Balancing, Scaling, High Availability, Storage, Diagnostics, Azure, Cloud Service, Scaling, Endpoints, Network Traffic, ACLs, Websites, Diagnostics, Azure, Storage, Azure Storage, Containers, BLOB Storage, Tables, Access Control, Monitoring, SQL, Active Directory, Virtual Networking, Azure",
Microsoft Azure: Implementing Infrastructure Solutions (70-533),"Azure, App Services, Design, Cloud Infrastructure, CLI, Powershell, Azure, Virtual Machines (VM), Configuration Management, VM Configuration, Powershell, Scaling, Monitoring, Azure, Design, Storage, BLOB Storage, Access Control, Logging, Encryption, Security, Azure, Containers, Virtual Networking, Routing, Peering, Resource Management",
Microsoft Database PRO SQL Server 2005 Administration 70-444,,
Microsoft Database PRO SQL Server 2005 Design 70-443,,
Microsoft Database PRO SQL Server 2008 Admin 70-450,,
Microsoft Database PRO SQL Server 2008 Business Design 70-452,,
Microsoft Database PRO SQL Server 2008 Design 70-451,,
Microsoft Database SQL Server 2005 Implementation 70-431,,
Microsoft Database SQL Server 2008 Business Development 70-448,,
Microsoft Database SQL Server 2008 Develop 70-433,,
Microsoft Database SQL Server 2008 Implementation 70-432,,
Microsoft Desktop Support PRO Windows 7 Enterprise Administration 70-686,,
Microsoft Desktop Support PRO Windows 7 Enterprise Technician 70-685,,
Microsoft Desktop Support PRO Windows 7 Upgrade 70-682,,
Microsoft Desktop Support PRO Windows Vista Consumer Support 70-623,,
Microsoft Desktop Support PRO Windows Vista Enterprise 70-622,,
Microsoft Desktop Support Windows Vista Deploy 70-624,,
Microsoft Dynamics CRM 2015 MB2-707,,
Microsoft Dynamics CRM 2015 MB2-708,,
Microsoft Dynamics CRM 2015 Online MB2-706,,
Microsoft End-User Security Training,,
Microsoft Excel 2011 for Mac,,
Microsoft Excel 2013 77-420,,
Microsoft Excel 2016,", Excel, Excel 2016, Formatting, Worksheet, Data Visualization, Functions, Spreadsheets, Charts, Excel, Excel 2016, Workbooks, Spreadsheets, Data Validation, PivotTables, PowerPivot, What-if Analysis, Spreadsheets, Macros, Forms",
Microsoft Excel 2019,"Excel, Excel 2019, Navigation, Microsoft Office, Excel, Excel 2019, Worksheet, Microsoft Office, Excel, Excel 2019, Functions, Microsoft Office, Autofill, Charts, Excel, Excel 2019, Microsoft Office, Excel, Excel 2019, Data Visualization, Microsoft Office, Excel, Excel 2019, Collaborate, Microsoft Office, Excel, Excel 2019, Tables, PivotTables, PowerPivot, Microsoft Office, Excel, Excel 2019, What-if Analysis, Microsoft Office, Microsoft Office, Excel 2019, Excel, Macros",
Microsoft Excel for Office 365,"Excel, Navigation, Microsoft Office, Excel, Navigation, Microsoft Office, Office 365, Excel Office 365, Worksheet, Excel, Excel Office 365, Microsoft Office, Excel, Excel Office 365, Microsoft Office, Functions, Excel, Excel Office 365, Microsoft Office, Charts, Excel, Excel Office 365, Microsoft Office, Data Visualization, Excel, Excel Office 365, Microsoft Office, Collaborate, Excel, Excel Office 365, Microsoft Office, PivotTables, PowerPivot, Excel, Excel Office 365, Microsoft Office, What-if Analysis, Excel, Excel Office 365, Microsoft Office, Macros",
Microsoft Exchange 5.5 Series,,
Microsoft Exchange Server 2003 Design 70-285,,
Microsoft Exchange Server 2003 Managing 70-284,,
Microsoft Exchange Server 2010 Config 70-662,,
Microsoft Exchange Server 2010 Design 70-663,,
Microsoft Exchange Server 2013 70-341,,
Microsoft Exchange Server 2013 70-342,,
Microsoft Exchange Server 2013: 70-341,,
Microsoft Exchange Server 2016: Client Access Services,"Exchange Server, Exchange Server 2016, Client Access Services, Server Administration",
Microsoft Exchange Server 2016: Mailbox Databases,"Azure, Exchange Server, Exchange Server 2016, Virtual Networking, Active Directory, Domain Controllers, Mailboxes, Exchange Server, Exchange Server 2016, Mailboxes",
Microsoft Lync Server 2010 70-664,,
Microsoft Lync Server 2013 70-336,,
Microsoft Lync Server 2013 70-337,,
Microsoft Managing Windows 2000 70-218,,
Microsoft MCAD Visual Studio .NET  70-306,,
Microsoft MCSA 2003 Upgrade 70-292,,
Microsoft MCSA Analyzing and Visualizing Data with Power BI (70-778),"Power BI, Formatting, Datasources, Power BI, Data Types, Error Handling, Data Prep, DAX, Power BI, Functions, Variables, Charts, Reports, KPIs, Data Visualization, Dashboard, Power BI",
Microsoft MCSA SQL Server 2016 (70-761),,
Microsoft MCSA SQL Server 2016 (70-762),,
Microsoft MCSA SQL Server 2016 (70-764),"Windows Server 2016, SQL, Windows Server 2016, SQL, Encryption, SQL, Windows Server 2016, Data Access, Permissions, SQL, Windows Server 2016, Auditing, SQL, Windows Server 2016, Backup, SQL, Windows Server 2016, Backup, Restore, SQL, Windows Server 2016, Database Integrity, Windows Server 2016, SQL, Query, Monitoring, SQL, Windows Server 2016, Indexes, SQL, Windows Server 2016, Statistics, SQL, Windows Server 2016, Database Instances, SQL, Windows Server 2016, Log Shipping, SQL, Windows Server 2016, Availability Groups, SQL, Windows Server 2016, Failover Clustering",
Microsoft MCSA SQL Server 2016 (70-764): 1.1 Configure Encryption,,
Microsoft MCSA SQL Server 2016 (70-764): 1.2 Configure Data Access and Permissions,,
Microsoft MCSA SQL Server 2016 (70-764): 1.3 Configure Auditing,,
Microsoft MCSA SQL Server 2016 (70-764): 2.1 Develop a Backup Strategy,,
Microsoft MCSA SQL Server 2016 (70-764): 2.2 Restore Databases,,
Microsoft MCSA SQL Server 2016 (70-764): 2.3 Manage Database Integrity,,
Microsoft MCSA SQL Server 2016 (70-765),"SQL, SQL Server, RDBMS, SQL, SQL Server, RDBMS, Azure, SQL, SQL Server, RDBMS, Server Installation, SQL, SQL Server, RDBMS, Deployment, Server Instances, SQL, SQL Server, RDBMS, Deployment, Virtual Machines (VM), SQL, SQL Server, RDBMS, Secure Access, Azure, Server Configuration, SQL, SQL Server, RDBMS, Server Configuration, SQL, SQL Server, RDBMS, Server Instances",
Microsoft MCSA Windows 8 70-687,,
Microsoft MCSA Windows 8 70-688,,
Microsoft MCSA Windows 8.1 70-687,,
Microsoft MCSA Windows 8.1 70-688,,
Microsoft MCSE 2003 Upgrade 70-296,,
Microsoft MCSE Business Intelligence 70-466,,
Microsoft MCTS Accessing Data with .NET Framework 4 70-516,".NET 4, ADO.NET, LINQ, SQL, XML",
Microsoft Messaging Exchange 2000 Administration 70-221,,
Microsoft Messaging Exchange 2000 Administration 70-224,,
Microsoft MTA Networking Fundamentals 98-366,,
Microsoft MTA Security Fundamentals 98-367,"Security, Network Security",
Microsoft MTA Windows OS Fundamentals 98-349,"OS Installation, Microsoft Windows, File Management, Device Management, OS Installation, Microsoft Windows, File Management, User Accounts, Storage Devices, Device Management, Encryption, Microsoft Windows, Backup, Recovery, Windows Tools, Windows, Microsoft Windows",
Microsoft MTA Windows Server Administration 98-365,,
Microsoft Office 365 70-346,,
Microsoft Office 365 70-347,,
Microsoft Office 365 77-891,,
Microsoft Office 365: 70-346,,
Microsoft Office 365: Managing Identities and Requirements (70-346),", Office 365, DNS, Azure PowerShell, ARM, Password Management, Roles, User Accounts, User Management, Powershell, Active Directory, Active Directory Federation Services (ADFS), WAP",
Microsoft Office 2000 Excel,,
Microsoft Office 2000 PowerPoint,,
Microsoft Office 2000 Word,,
Microsoft Office 2003 Access,,
Microsoft Office 2003 Excel,,
Microsoft Office 2003 FrontPage,,
Microsoft Office 2003 Outlook,,
Microsoft Office 2003 PowerPoint,,
Microsoft Office 2003 Word,,
Microsoft Office 2007 Access 77-605,,
Microsoft Office 2007 Excel 77-602,,
Microsoft Office 2007 Outlook 77-604,,
Microsoft Office 2007 PowerPoint 77-603,,
Microsoft Office 2007 Word 77-601,,
Microsoft Office 2010 Excel 77-882,,
Microsoft Office 2010 Outlook 77-884,,
Microsoft Office 2010 PowerPoint 77-883,,
Microsoft Office 2010 Word 77-881,,
Microsoft Office Access 2010 77-885,,
Microsoft Office OneNote 2010,,
Microsoft Office Project 2003,,
Microsoft Office Project 2007 70-632,,
Microsoft Office Word 2013 77-418,,
Microsoft OneNote,,
Microsoft Outlook 2016,"Microsoft Office, Outlook, Productivity, Microsoft Office, Outlook, Productivity, Calendar, Contacts, Tasks",
Microsoft PowerPoint 2013 77-422,,
Microsoft PowerPoint 2016,", PowerPoint, Text, Tables, Formatting, Diagrams, Presentations, Charts, Graphs, Collaborate, Triggers, Animations, PowerPoint, File Management, Templates, Presentations",
Microsoft PowerShell 4 Foundations,"Powershell, Commands, Pipeline, Data Objects, Powershell, Data Objects, Pipeline, WMI, CIM, Workflows, Scripting, DSC",
Microsoft PowerShell 6 Foundations,"Powershell, Scripting, CIM, Cmdlets, Powershell, Scripting, CIM, Cmdlets, Variables, SSH, Remote Access, For Loops, ElseIf, Arrays",
Microsoft PowerShell Reference Training,"Powershell, Scripting, Powershell, Pipeline, Scripting, Data Objects, Powershell, Powershell Remoting, Scripting, Powershell, CIM, WMI, Scripting, Powershell, Scripting, Functions, Error Handling, Powershell, DSC, Controller Scripts, GUI, Powershell, COM Objects, .NET",
Microsoft PRO Exchange Server 2007 Configure 70-236,,
Microsoft PRO Exchange Server 2007 Deploy 70-238,,
Microsoft PRO Exchange Server 2007 Design 70-237,,
Microsoft PRO Windows Server 2008 70-646,,
Microsoft PRO Windows Server 2008 Enterprise 70-647,,
Microsoft PRO Windows Vista Upgrade 70-621,,
Microsoft Programming .NET 2 Web App Development 70-528,,
Microsoft Programming .NET 2 Windows App Development 70-526,,
Microsoft Programming .NET 4 Software Development Fundamentals 98-361,".NET, .NET 4, Software Development, .NET, .NET 4, Software Development, Apps & Data, Database",
Microsoft Programming .NET 4 Web App Development 70-515,,
Microsoft Programming .NET 4 Windows App Development 70-511,,
Microsoft Programming .NET App Development Foundation 70-536,,
Microsoft Programming .NET Web App Design 70-547,,
Microsoft Programming .NET XML,,
Microsoft Programming Analyzing MCSD Requirements 70-300,,
Microsoft Programming C#  .NET  XML,,
Microsoft Programming VB.NET 70-310,,
Microsoft Programming VB.NET Introduction,,
Microsoft Programming Visual Basic 6.0 Desktop Applications,,
Microsoft Programming Visual Basic 6.0 Distributed Applications,,
Microsoft Programming Web Apps with VB.NET  70-305,,
Microsoft Project 2010 70-178,,
Microsoft Project 2013 74-343,,
Microsoft Project Essentials,,
Microsoft Resume Builder,,
Microsoft SCCM 2012 70-243 R2,", Configuration Management, SCCM",
Microsoft Scripting Advanced Windows PowerShell V2,,
Microsoft Scripting Windows PowerShell,,
Microsoft Security ISA Server 2004 70-350,,
Microsoft Server 2008 R2 Updates,,
Microsoft Server 2008 Upgrade 70-648,,
Microsoft Server 2008 Upgrade 70-648 R2,,
Microsoft Server 2008 Upgrade 70-649,,
Microsoft SharePoint 2010 Admin 70-668,,
Microsoft SharePoint 2010 Config 70-667,,
Microsoft SharePoint 2013 77-419,,
Microsoft SharePoint 2013 Collaboration Expert,,
Microsoft SharePoint 2013 End-user,,
Microsoft SharePoint 2013 End-user for Office Subscribers,,
Microsoft SharePoint 2013 Site Collection Administrator,,
Microsoft SharePoint 2013 Site Owners,,
Microsoft SharePoint 2016 Fundamentals,", SharePoint, Sites, Web Parts, SharePoint, Document Libraries, Views, Templates, Permissions",
Microsoft SharePoint 2016: Collaboration Expert,,
Microsoft SharePoint Server 2007 Configure 70-630,"SharePoint, SharePoint Server, SharePoint 2007, SharePoint, SharePoint 2007, Site Management, SharePoint, SharePoint 2007, Content Management, SharePoint, SharePoint 2007, Workflows, SharePoint Server, SharePoint, SharePoint 2007, SharePoint Server, System Maintenance",
Microsoft SharePoint Server 2013 70-331,,
Microsoft SharePoint Server 2013 70-332,,
Microsoft SharePoint Services 3.0 Configure 70-631,,
Microsoft Skype for Business (70-334),,
Microsoft Small Business Server 70-282,,
Microsoft SMS 2003 70-089,,
Microsoft SQL 2000  Fundamentals  Implementation  and Design  70-229,,
Microsoft SQL 2000 Fundamentals and Admin 70-228,,
Microsoft SQL Server 2012: Administering Databases (70-462),"SQL, SQL Server 2012, Configuration, SQL, SQL Server 2012, Data Optimization, Data Management",
Microsoft SQL Server 2012: Designing Database Solutions (70-465),"SQL Server 2012, Server 2014, SQL, Database Design, SQL Server 2012, Server 2014, SQL, Database Design, Database Objects, SQL Server 2012, Server 2014, SQL, Database Security, Security, SQL Server 2012, Server 2014, SQL, Troubleshooting, Monitoring, Optimization",
Microsoft SQL Server 2012: Developing Databases (70-464),"SQL, SQL Server, SQL Server 2012, Database Security, Tables, Data Types, Indexes, XML, Functions, SQL, SQL Server, SQL Server 2012, Data Integrity, Indexes, Optimization",
Microsoft SQL Server 2012: Implementing a Data Warehouse (70-463),"SQL, SQL Server 2012, Design, Data, Implementation, SQL, SQL Server 2012, Deployment",
Microsoft SQL Server 2012: Querying (70-461),"SQL, Query, Data Objects, SQL Server 2012, SQL, Query, Data Optimization, SQL Server 2012",
Microsoft SQL Server 2014: Designing Database Solutions (70-465),"Azure, SQL, SQL Server, Server 2014, IaaS, PaaS, STaaS",
Microsoft SQL Server 2014: Developing Databases (70-464),"Tables, Data Types, Server 2012, Server 2014, SQL Server, Data Integrity, Security, Indexes, Functions, BLOB Storage, XML, Query, Concurrency, Automation, Monitoring, Troubleshooting",
Microsoft SQL Server: Database Fundamentals (98-364),", SQL, Database Architecture, Data Objects, Query, Data, Data Storage, SQL, Database Architecture, Security, Backup, Recovery, Data Objects, Data, Functions",
Microsoft SQL: Data Modeling,", SQL, SSAS, Data Modeling, Dimensional Modeling, Multidimensional Models, Data Modeling, SQL, Attribute Relationships, Tabular Modeling, SQL, DAX, Data Modeling, Tabular Modeling, User Management, Permissions, SQL, Data Modeling",
Microsoft SQL: Data Quality,"SQL, Data Warehouse, Database, SSIS, DQS, Data Cleaning, Data Flows, MDS, Data Quality, ",
Microsoft SQL: Designing a Data Warehouse,"SQL, Data Warehouse, Database, Database Design, Indexes, Data Partitioning, SSIS, SCD",
Microsoft SQL: MDX and DAX,"SQL, Data Modeling, DAX, MDX",
Microsoft SQL: SSAS Tuning,"SSAS, SQL, Multidimensional Models, Tabular Modeling, Querying",
Microsoft SQL: SSIS,"SQL, Data Warehouse, Database, SSIS, Data Flows, Constraints, Variables, Source Data, SCD, CDC",
Microsoft System Center 2012 Private Cloud 70-246,,
Microsoft System Center 2012 Private Cloud 70-247,,
Microsoft System Center 2012 R2 Private Cloud 70-246,,
Microsoft System Center 2012 R2 Private Cloud 70-247,,
Microsoft System Center Configuration Manager SCCM 2012 70-243,,
Microsoft System Center SCCM 2007 Configuring 70-401,,
Microsoft System Center SCOM 2007 Configuring 70-400,,
